Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,4.630090,4.646500,4.586200,4.630110,4.630110,0
2021-10-01,4.603940,4.611340,4.574470,4.603860,4.603860,0
2021-10-04,4.578520,4.596870,4.560000,4.576440,4.576440,0
2021-10-05,4.587280,4.618040,4.577400,4.588800,4.588800,0
2021-10-06,4.602830,4.629220,4.544630,4.602380,4.602380,0
2021-10-07,4.545600,4.580070,4.535400,4.544800,4.544800,0
2021-10-08,4.581300,4.621260,4.579500,4.584750,4.584750,0
2021-10-11,4.602180,4.615660,4.579800,4.601870,4.601870,0
2021-10-12,null,null,null,null,null,null
2021-10-13,4.581800,4.586700,4.565300,4.582760,4.582760,0
2021-10-14,4.571900,4.580930,4.561000,4.573070,4.573070,0
2021-10-15,4.573020,4.577700,4.555500,4.569600,4.569600,0
